device,timestamp,server_id,server_name,server_country,server_sponsor,server_host,server_location,ping_ms,download_mbps,upload_mbps,download_bytes,upload_bytes,bytes_sent,bytes_received,client_ip,client_isp,isp,interface_external_ip,result_id,result_url,cli_type
OLT Alajuela 1,2025-08-21T01:42:06.503277,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.371,414.926856,443.35048,549173104,547232911,,,,,Telecable Costa Rica,200.105.99.72,2c04c4ce-9431-4b09-8ddc-d6da1987c8f9,https://www.speedtest.net/result/c/2c04c4ce-9431-4b09-8ddc-d6da1987c8f9,official
OLT Alajuela 1,2025-08-21T01:42:40.080057,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.388,19.079088,417.183728,30270456,415999687,,,,,Telecable Costa Rica,200.105.99.72,f69f3471-e9b3-4a64-b0af-2a755fce767a,https://www.speedtest.net/result/c/f69f3471-e9b3-4a64-b0af-2a755fce767a,official
OLT Alajuela 1,2025-08-21T01:48:11.120618,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.232,415.130048,443.368696,569010876,511400445,,,,,Telecable Costa Rica,200.105.99.72,25d4ee7a-c7e6-4c9b-8f12-94809694c72d,https://www.speedtest.net/result/c/25d4ee7a-c7e6-4c9b-8f12-94809694c72d,official
OLT Alajuela 1,2025-08-21T01:48:46.025821,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.168,17.657592,444.295328,20692860,711868018,,,,,Telecable Costa Rica,200.105.99.72,213bd36d-bbdf-43f3-8e49-9db26eae4766,https://www.speedtest.net/result/c/213bd36d-bbdf-43f3-8e49-9db26eae4766,official
OLT Alajuela 1,2025-08-21T01:54:17.323135,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.278,415.17188,443.619384,544205152,559123046,,,,,Telecable Costa Rica,200.105.99.72,8ccb2086-280d-465b-866a-75dc09807683,https://www.speedtest.net/result/c/8ccb2086-280d-465b-866a-75dc09807683,official
OLT Alajuela 1,2025-08-21T01:54:54.729048,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.308,17.31112,446.179144,22771324,795310919,,,,,Telecable Costa Rica,200.105.99.72,e44d48c4-d67e-4330-9a02-df30fa82aa55,https://www.speedtest.net/result/c/e44d48c4-d67e-4330-9a02-df30fa82aa55,official
OLT Alajuela 1,2025-08-21T02:00:25.884739,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,2.706,416.651088,443.630736,540238552,566896317,,,,,Telecable Costa Rica,200.105.99.72,425b6109-7268-4d99-b79a-664e7363fab6,https://www.speedtest.net/result/c/425b6109-7268-4d99-b79a-664e7363fab6,official
OLT Alajuela 1,2025-08-21T02:01:06.451371,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.316,20.010248,442.92788,33215888,737785716,,,,,Telecable Costa Rica,200.105.99.72,9ba28e61-661b-46be-bb26-6f6a5ced721f,https://www.speedtest.net/result/c/9ba28e61-661b-46be-bb26-6f6a5ced721f,official
OLT Alajuela 1,2025-08-21T02:06:37.966139,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.257,416.221696,443.425984,556938860,554230590,,,,,Telecable Costa Rica,200.105.99.72,99aae714-157d-4269-bc09-b1e55939e803,https://www.speedtest.net/result/c/99aae714-157d-4269-bc09-b1e55939e803,official
OLT Alajuela 1,2025-08-21T02:07:19.872579,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.213,20.52724,446.968064,39941244,793033504,,,,,Telecable Costa Rica,200.105.99.72,a8b93e41-108f-492c-ac49-b4ad3484dbcb,https://www.speedtest.net/result/c/a8b93e41-108f-492c-ac49-b4ad3484dbcb,official
