timestamp,server_id,server_name,server_country,server_sponsor,server_host,server_location,ping_ms,download_mbps,upload_mbps,download_bytes,upload_bytes,bytes_sent,bytes_received,client_ip,client_isp,isp,interface_external_ip,result_id,result_url,cli_type
2025-08-20T23:36:47.362729,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.459,407.039504,444.288496,532638096,522755366,,,,,Telecable Costa Rica,200.105.99.72,ef48ffe1-bcbb-4a88-ae4d-b431d9d343f2,https://www.speedtest.net/result/c/ef48ffe1-bcbb-4a88-ae4d-b431d9d343f2,official
2025-08-20T23:37:23.604383,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.085,16.914672,431.114896,29887804,494779388,,,,,Telecable Costa Rica,200.105.99.72,fa5c2801-182f-4fdf-8b49-f369a9c2e170,https://www.speedtest.net/result/c/fa5c2801-182f-4fdf-8b49-f369a9c2e170,official
2025-08-20T23:42:55.106664,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.256,408.42224,443.725336,520978336,559928286,,,,,Telecable Costa Rica,200.105.99.72,b31c070a-7b27-4dcf-9b0a-1af64fe73423,https://www.speedtest.net/result/c/b31c070a-7b27-4dcf-9b0a-1af64fe73423,official
2025-08-20T23:43:22.225636,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.321,19.83976,384.49124,19393820,324786251,,,,,Telecable Costa Rica,200.105.99.72,fd34c0b3-099e-480d-b8e2-1d9e854dce8b,https://www.speedtest.net/result/c/fd34c0b3-099e-480d-b8e2-1d9e854dce8b,official
2025-08-20T23:48:53.845615,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.211,410.899664,443.8518,513396140,558577714,,,,,Telecable Costa Rica,200.105.99.72,617031d6-b804-4e1c-9103-5358051bf945,https://www.speedtest.net/result/c/617031d6-b804-4e1c-9103-5358051bf945,official
2025-08-20T23:49:22.323228,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.236,19.347048,409.666112,20599960,385425429,,,,,Telecable Costa Rica,200.105.99.72,57583e2e-a8a2-49f1-b2e7-f0a8a170b4ad,https://www.speedtest.net/result/c/57583e2e-a8a2-49f1-b2e7-f0a8a170b4ad,official
2025-08-20T23:54:51.686584,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.179,398.910336,444.164136,455401940,505797226,,,,,Telecable Costa Rica,200.105.99.72,61f25a99-edd2-4438-a5a9-efd1a7684186,https://www.speedtest.net/result/c/61f25a99-edd2-4438-a5a9-efd1a7684186,official
2025-08-20T23:55:24.995995,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.212,20.63496,443.371712,18860084,731462709,,,,,Telecable Costa Rica,200.105.99.72,4a328c71-4a7c-490b-91b3-926e625f4dc0,https://www.speedtest.net/result/c/4a328c71-4a7c-490b-91b3-926e625f4dc0,official
2025-08-21T00:00:54.579593,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.2,399.964328,443.48544,474419292,522749026,,,,,Telecable Costa Rica,200.105.99.72,655fd9c9-a5fe-46cc-a958-2dd3c316fe98,https://www.speedtest.net/result/c/655fd9c9-a5fe-46cc-a958-2dd3c316fe98,official
2025-08-21T00:01:30.732230,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.245,21.937464,424.417248,37033936,466456949,,,,,Telecable Costa Rica,200.105.99.72,7a07cf4f-30a8-4b67-9663-ab188d208dec,https://www.speedtest.net/result/c/7a07cf4f-30a8-4b67-9663-ab188d208dec,official
2025-08-21T00:07:01.530865,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.204,411.970648,442.61988,541492116,512240828,,,,,Telecable Costa Rica,200.105.99.72,a4a0fdfd-49d3-421f-96ef-efbcc5b96037,https://www.speedtest.net/result/c/a4a0fdfd-49d3-421f-96ef-efbcc5b96037,official
2025-08-21T00:07:36.389960,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.212,18.457336,409.845424,32217604,397664082,,,,,Telecable Costa Rica,200.105.99.72,198687ed-8f15-4a58-afc6-ab91cff109e3,https://www.speedtest.net/result/c/198687ed-8f15-4a58-afc6-ab91cff109e3,official
2025-08-21T00:13:08.013753,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.275,413.034512,444.564336,546952904,566296288,,,,,Telecable Costa Rica,200.105.99.72,cc5d6315-4f92-422b-8bbb-35b8dd53722b,https://www.speedtest.net/result/c/cc5d6315-4f92-422b-8bbb-35b8dd53722b,official
2025-08-21T00:13:44.001400,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.224,17.157584,437.61552,18910916,745417418,,,,,Telecable Costa Rica,200.105.99.72,7d73aebd-75e6-4e8e-a3e2-6ddc2aa311df,https://www.speedtest.net/result/c/7d73aebd-75e6-4e8e-a3e2-6ddc2aa311df,official
2025-08-21T00:19:14.275229,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.038,410.815488,443.957128,534445700,511659017,,,,,Telecable Costa Rica,200.105.99.72,73edafcc-50ea-4006-9faa-3f366d082301,https://www.speedtest.net/result/c/73edafcc-50ea-4006-9faa-3f366d082301,official
2025-08-21T00:19:38.429019,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.373,14.550984,411.600632,8706392,376826601,,,,,Telecable Costa Rica,200.105.99.72,a9485b83-6411-42c8-890f-35960f28a66f,https://www.speedtest.net/result/c/a9485b83-6411-42c8-890f-35960f28a66f,official
2025-08-21T00:25:10.535294,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.109,415.91296,444.219984,569694284,566873156,,,,,Telecable Costa Rica,200.105.99.72,c576862e-5afb-48a4-8cbb-56787817ba51,https://www.speedtest.net/result/c/c576862e-5afb-48a4-8cbb-56787817ba51,official
2025-08-21T00:25:43.832517,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.244,18.60436,437.515544,27413980,504937669,,,,,Telecable Costa Rica,200.105.99.72,2b8dabad-d38a-4079-b4e1-d177d1db66d9,https://www.speedtest.net/result/c/2b8dabad-d38a-4079-b4e1-d177d1db66d9,official
2025-08-21T00:31:15.308907,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.197,412.921424,444.471544,546589728,561485915,,,,,Telecable Costa Rica,200.105.99.72,385ed83d-0704-49e3-97a9-d199e733a620,https://www.speedtest.net/result/c/385ed83d-0704-49e3-97a9-d199e733a620,official
2025-08-21T00:31:51.612313,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.171,19.302488,438.44292,28286596,636550470,,,,,Telecable Costa Rica,200.105.99.72,a82f4526-9e89-4a17-b7bf-0ccc6364dc1e,https://www.speedtest.net/result/c/a82f4526-9e89-4a17-b7bf-0ccc6364dc1e,official
2025-08-21T00:37:22.550234,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.129,413.169912,444.040488,547698148,529669643,,,,,Telecable Costa Rica,200.105.99.72,b46c56ef-5872-4aec-bd36-29b7903807be,https://www.speedtest.net/result/c/b46c56ef-5872-4aec-bd36-29b7903807be,official
2025-08-21T00:38:04.500872,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.165,17.208048,444.951912,30374944,783266968,,,,,Telecable Costa Rica,200.105.99.72,4d6f08d9-605b-4de3-9b34-e11b25b9a5d5,https://www.speedtest.net/result/c/4d6f08d9-605b-4de3-9b34-e11b25b9a5d5,official
2025-08-21T00:43:36.332142,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.095,412.443984,443.864544,556669168,560189000,,,,,Telecable Costa Rica,200.105.99.72,16c35fb4-e2b6-4b68-be4b-95b48c531350,https://www.speedtest.net/result/c/16c35fb4-e2b6-4b68-be4b-95b48c531350,official
2025-08-21T00:44:18.131195,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.247,17.045032,445.32352,29623760,790026861,,,,,Telecable Costa Rica,200.105.99.72,981d1009-b828-433d-a3b3-828d0c78a3bb,https://www.speedtest.net/result/c/981d1009-b828-433d-a3b3-828d0c78a3bb,official
